ID,Name,Price,Product URL,Image URL
1,"Pran Potato Cracker 14(±)1gm",৳10
  Per Piece,https://www.shwapno.com/pran-potato-cracker-15gm-2,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa961fd61902ef23078c9e_Pran-Potato-Cracker-15gm_1_415.webp
3,"Pran Potato Cracker 14(±)1gm",৳10
  Per Piece,https://www.shwapno.com/pran-potato-cracker-15gm-2,
10,"Ruchi Potato Crackers BBQ Chips 25(±)3gm",৳15
  Per Piece,https://www.shwapno.com/ruchi-potato-crackers-bbq-chips-253gm,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa96a8d61902ef2307b4bb_Ruchi-Potato-Crackers-BBQ-Chips-253gm_1_415.webp
12,"Ruchi Potato Crackers BBQ Chips 25(±)3gm",৳15
  Per Piece,https://www.shwapno.com/ruchi-potato-crackers-bbq-chips-253gm,
19,"Mister Potato Original Chips 100gm",৳310
  Per Piece,https://www.shwapno.com/mister-potato-original-chips-100gm,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6655ae790e5834e013de54ec_Mister-Potato-Original-Chips-100gm_1_415.webp
21,"Mister Potato Original Chips 100gm",৳310
  Per Piece,https://www.shwapno.com/mister-potato-original-chips-100gm,
28,"Mister Potato Hot & Spicy Chips 100gm",৳310
  Per Piece,https://www.shwapno.com/mister-potato-hot-spicy-chips-100gm,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6728a27e3a11aefc405c8d01_Mister-Potato-Hot-Spicy-Chips-100gm_1_415.webp
30,"Mister Potato Hot & Spicy Chips 100gm",৳310
  Per Piece,https://www.shwapno.com/mister-potato-hot-spicy-chips-100gm,
37,"Mister Potato BBQ Chips 100gm",৳310
  Per Piece,https://www.shwapno.com/mister-potato-bbq-chips-100gm,https://d2t8nl1y0ie1km.cloudfront.net/images/default-product.webp
39,"Mister Potato BBQ Chips 100gm",৳310
  Per Piece,https://www.shwapno.com/mister-potato-bbq-chips-100gm,
46,"Cerelac Rice & Potato with Chicken 400(±)50gm",৳480
  Per Piece,https://www.shwapno.com/cerelac-rice-and-potato-with-chicken-40050gm,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa937c115075f231ec4a56_Cerelac-Rice-Potato-with-Chicken-40050gm_1_415.webp
48,"Cerelac Rice & Potato with Chicken 400(±)50gm",৳480
  Per Piece,https://www.shwapno.com/cerelac-rice-and-potato-with-chicken-40050gm,